Dimension,Normal Time,Recursive Time,Strassen Time
100,0,0,0
110,0,11,0
120,0,5,5
130,1,10,0
140,0,79,0
150,1,82,0
160,2,80,1
170,1,81,1
180,2,79,0
190,6,80,1
200,4,85,2
210,5,81,3
220,6,85,6
230,7,84,3
240,7,87,3
250,8,94,4
260,13,84,5
270,12,637,5
280,12,639,5
290,14,623,6
300,16,632,8
310,18,645,8
320,19,643,10
330,25,649,11
340,24,650,9
350,25,648,10
360,25,660,12
370,39,646,13
380,33,632,13
390,39,643,19
400,41,675,16
410,48,681,19
420,44,680,23
430,50,673,18
440,57,671,19
450,57,665,23
460,62,689,23
470,65,674,24
480,71,675,33
490,80,671,34
500,90,687,31
510,92,678,30
520,95,714,34
530,99,5083,41
540,104,5134,40
550,108,5127,43
560,119,5169,44
570,128,5012,47
580,128,5118,48
590,137,5101,51
600,149,5160,52
610,163,5138,67
620,164,5158,61
630,170,5133,69
640,179,5188,70
650,188,5169,71
660,197,5146,65
670,216,5235,101
680,293,5399,77
690,235,5194,77
700,244,5134,88
710,279,5216,84
720,260,5156,89
730,276,5178,94
740,297,5308,96
750,326,5266,102
760,325,5251,109
770,381,5303,123
780,431,5629,122
790,377,5510,112
800,388,5436,125
810,414,5510,131
820,453,5460,137
830,439,5503,141
840,459,5647,129
850,477,5643,156
860,508,5471,150
870,534,5678,150
880,586,5570,156
890,559,5559,165
900,663,5666,163
910,594,5733,185
920,649,5726,201
930,679,5571,192
940,710,5555,187
950,684,5500,190
960,751,5475,233
970,1020,5540,255
980,803,5985,246
990,836,5502,225
1000,885,5558,229
1010,929,5484,235
1020,907,5590,243
1030,3148,5778,249
